Date,HDFC,HUL,ICICI,INFY,LT,MARUTI,RELIANCE,TCS,NIFTY50
2024-10-21,852.8223876953125,2614.309814453125,1249.4095458984375,1779.2364501953125,3552.468505859375,12045.52734375,1363.7532958984375,3872.31103515625,24781.099609375
2024-10-22,845.841796875,2602.80810546875,1257.7947998046875,1778.1319580078125,3479.449462890625,11795.630859375,1338.006103515625,3811.234375,24472.099609375
2024-10-23,856.3251342773438,2581.067138671875,1242.0164794921875,1799.0672607421875,3423.471435546875,11828.1796875,1333.2003173828125,3859.40283203125,24435.5
2024-10-24,863.15771484375,2431.403564453125,1243.15771484375,1789.4158935546875,3410.83935546875,11637.740234375,1334.4703369140625,3841.986083984375,24399.400390625
2024-10-25,860.0744018554688,2453.678466796875,1245.8370361328125,1788.1676025390625,3295.66357421875,11379.6826171875,1322.5677490234375,3851.145263671875,24180.80078125
2024-10-28,855.5357055664062,2500.023681640625,1282.95068359375,1791.336669921875,3309.9306640625,11360.29296875,1329.0418701171875,3882.751220703125,24339.150390625
2024-10-29,864.2430419921875,2472.70166015625,1321.6519775390625,1786.4317626953125,3349.659912109375,10927.724609375,1334.66943359375,3867.94482421875,24466.849609375
2024-10-30,855.7330932617188,2479.787109375,1302.1029052734375,1750.301025390625,3376.8564453125,11135.921875,1338.553955078125,3876.86669921875,24340.849609375
2024-10-31,856.2756958007812,2453.87255859375,1282.355224609375,1706.740234375,3588.829345703125,10957.849609375,1326.7510986328125,3766.57763671875,24205.349609375
2024-11-01,857.0651245117188,2462.850341796875,1281.90869140625,1710.236572265625,3592.842041015625,10991.0400390625,1333.3248291015625,3781.526611328125,24304.349609375
2024-11-04,845.6197509765625,2450.524169921875,1267.42041015625,1712.9561767578125,3541.42138671875,10934.1064453125,1296.9700927734375,3762.496337890625,23995.349609375
2024-11-05,867.2030029296875,2447.175537109375,1286.7711181640625,1703.7777099609375,3541.768310546875,11050.49609375,1300.1075439453125,3769.330322265625,24213.30078125
2024-11-06,865.92041015625,2455.374267578125,1292.3779296875,1771.2801513671875,3611.765380859375,11232.6748046875,1320.0777587890625,3929.069091796875,24484.05078125
2024-11-07,861.62841796875,2430.630859375,1268.908935546875,1751.2237548828125,3612.85546875,11179.154296875,1300.4561767578125,3939.74658203125,24199.349609375
2024-11-08,865.5256958007812,2462.247314453125,1249.2109375,1777.3504638671875,3626.478271484375,11181.9736328125,1278.6431884765625,3936.045166015625,24148.19921875
2024-11-11,871.3717041015625,2445.899169921875,1259.5810546875,1806.6337890625,3595.319091796875,11277.6376953125,1267.6370849609375,3985.115234375,24141.30078125
2024-11-12,847.6423950195312,2416.884765625,1260.8709716796875,1815.083740234375,3558.16552734375,11023.78515625,1269.1810302734375,3983.880859375,23883.44921875
2024-11-13,829.463134765625,2420.272216796875,1244.100341796875,1814.6953125,3515.166259765625,10931.2861328125,1247.0693359375,3939.224853515625,23559.05078125
2024-11-14,835.087158203125,2345.89501953125,1247.325439453125,1810.9559326171875,3493.6669921875,10888.2021484375,1262.5574951171875,3935.000732421875,23532.69921875
2024-11-18,841.1797485351562,2378.984130859375,1243.852294921875,1759.3822021484375,3509.419921875,10975.162109375,1255.7347412109375,3815.031005859375,23453.80078125
